Model,Accuracy,Precision,Recall,F1-Score
SVC (Tuned),0.7325,0.7203791469194313,0.76,0.7396593673965937
Random Forest (Tuned),0.8925,0.904639175257732,0.8775,0.8908629441624365
KNN,0.6375,0.627906976744186,0.675,0.6506024096385542
Decision Tree,0.835,0.8004484304932735,0.8925,0.8439716312056738
Gradient Boosting (Tuned),0.8925,0.8905472636815921,0.895,0.8927680798004988
