Feature,Importance
Sulfate,0.28714506750167046
ph,0.17475531800413616
Hardness,0.09073224359164862
Chloramines,0.0878642509282035
Solids,0.08526620022362469
Organic_carbon,0.07060253965728124
Conductivity,0.06955420466410649
Trihalomethanes,0.06724745190420366
Turbidity,0.06683272352512523
